id,type,name,variation,saveAs,prompt
flights-cta-banner,service,Flight Booking,4,public/images/hero/flights-cta-banner.png,"Create a Flight Booking image for YatraNexus travel website. Theme: airplane at airport, flight booking, domestic and international travel. Shot type: cta-banner — Wide CTA section background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 21:9 ultrawide."
flights-trust-section,service,Flight Booking,5,public/images/hero/flights-trust-section.png,"Create a Flight Booking image for YatraNexus travel website. Theme: airplane at airport, flight booking, domestic and international travel. Shot type: trust-section — Subtle background for stats/trust bar. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
flights-how-it-works,service,Flight Booking,6,public/images/hero/flights-how-it-works.png,"Create a Flight Booking image for YatraNexus travel website. Theme: airplane at airport, flight booking, domestic and international travel. Shot type: how-it-works — Clean illustrative step background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
flights-social-square,service,Flight Booking,7,public/images/hero/flights-social-square.png,"Create a Flight Booking image for YatraNexus travel website. Theme: airplane at airport, flight booking, domestic and international travel. Shot type: social-square — Instagram/LinkedIn post. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 1:1 1080×1080."
flights-social-story,service,Flight Booking,8,public/images/hero/flights-social-story.png,"Create a Flight Booking image for YatraNexus travel website. Theme: airplane at airport, flight booking, domestic and international travel. Shot type: social-story — Instagram story. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16."
flights-ppt-slide,service,Flight Booking,9,public/images/hero/flights-ppt-slide.png,"Create a Flight Booking image for YatraNexus travel website. Theme: airplane at airport, flight booking, domestic and international travel. Shot type: ppt-slide — Vendor presentation slide. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
flights-email-header,service,Flight Booking,10,public/images/hero/flights-email-header.png,"Create a Flight Booking image for YatraNexus travel website. Theme: airplane at airport, flight booking, domestic and international travel. Shot type: email-header — Email newsletter banner. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:1 wide."
hotels-hero-desktop,service,Hotel Booking,1,public/images/hero/hotels-hero-desktop.png,"Create a Hotel Booking image for YatraNexus travel website. Theme: luxury hotel room and lobby, handpicked stays worldwide. Shot type: hero-desktop — Left third clear for text overlay. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9 1920×1080."
hotels-hero-mobile,service,Hotel Booking,2,public/images/hero/hotels-hero-mobile.png,"Create a Hotel Booking image for YatraNexus travel website. Theme: luxury hotel room and lobby, handpicked stays worldwide. Shot type: hero-mobile — Vertical crop, subject center-bottom. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16 1080×1920."
hotels-service-card,service,Hotel Booking,3,public/images/hero/hotels-service-card.png,"Create a Hotel Booking image for YatraNexus travel website. Theme: luxury hotel room and lobby, handpicked stays worldwide. Shot type: service-card — Package/service card thumbnail. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:2 1200×800."
hotels-cta-banner,service,Hotel Booking,4,public/images/hero/hotels-cta-banner.png,"Create a Hotel Booking image for YatraNexus travel website. Theme: luxury hotel room and lobby, handpicked stays worldwide. Shot type: cta-banner — Wide CTA section background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 21:9 ultrawide."
hotels-trust-section,service,Hotel Booking,5,public/images/hero/hotels-trust-section.png,"Create a Hotel Booking image for YatraNexus travel website. Theme: luxury hotel room and lobby, handpicked stays worldwide. Shot type: trust-section — Subtle background for stats/trust bar. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
hotels-how-it-works,service,Hotel Booking,6,public/images/hero/hotels-how-it-works.png,"Create a Hotel Booking image for YatraNexus travel website. Theme: luxury hotel room and lobby, handpicked stays worldwide. Shot type: how-it-works — Clean illustrative step background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
hotels-social-square,service,Hotel Booking,7,public/images/hero/hotels-social-square.png,"Create a Hotel Booking image for YatraNexus travel website. Theme: luxury hotel room and lobby, handpicked stays worldwide. Shot type: social-square — Instagram/LinkedIn post. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 1:1 1080×1080."
hotels-social-story,service,Hotel Booking,8,public/images/hero/hotels-social-story.png,"Create a Hotel Booking image for YatraNexus travel website. Theme: luxury hotel room and lobby, handpicked stays worldwide. Shot type: social-story — Instagram story. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16."
hotels-ppt-slide,service,Hotel Booking,9,public/images/hero/hotels-ppt-slide.png,"Create a Hotel Booking image for YatraNexus travel website. Theme: luxury hotel room and lobby, handpicked stays worldwide. Shot type: ppt-slide — Vendor presentation slide. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
hotels-email-header,service,Hotel Booking,10,public/images/hero/hotels-email-header.png,"Create a Hotel Booking image for YatraNexus travel website. Theme: luxury hotel room and lobby, handpicked stays worldwide. Shot type: email-header — Email newsletter banner. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:1 wide."
visa-hero-desktop,service,Visa Services,1,public/images/hero/visa-hero-desktop.png,"Create a Visa Services image for YatraNexus travel website. Theme: passport visa stamps, travel documents, your visa sorted, global access. Shot type: hero-desktop — Left third clear for text overlay. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9 1920×1080."
visa-hero-mobile,service,Visa Services,2,public/images/hero/visa-hero-mobile.png,"Create a Visa Services image for YatraNexus travel website. Theme: passport visa stamps, travel documents, your visa sorted, global access. Shot type: hero-mobile — Vertical crop, subject center-bottom. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16 1080×1920."
visa-service-card,service,Visa Services,3,public/images/hero/visa-service-card.png,"Create a Visa Services image for YatraNexus travel website. Theme: passport visa stamps, travel documents, your visa sorted, global access. Shot type: service-card — Package/service card thumbnail. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:2 1200×800."
visa-cta-banner,service,Visa Services,4,public/images/hero/visa-cta-banner.png,"Create a Visa Services image for YatraNexus travel website. Theme: passport visa stamps, travel documents, your visa sorted, global access. Shot type: cta-banner — Wide CTA section background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 21:9 ultrawide."
visa-trust-section,service,Visa Services,5,public/images/hero/visa-trust-section.png,"Create a Visa Services image for YatraNexus travel website. Theme: passport visa stamps, travel documents, your visa sorted, global access. Shot type: trust-section — Subtle background for stats/trust bar. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
visa-how-it-works,service,Visa Services,6,public/images/hero/visa-how-it-works.png,"Create a Visa Services image for YatraNexus travel website. Theme: passport visa stamps, travel documents, your visa sorted, global access. Shot type: how-it-works — Clean illustrative step background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
visa-social-square,service,Visa Services,7,public/images/hero/visa-social-square.png,"Create a Visa Services image for YatraNexus travel website. Theme: passport visa stamps, travel documents, your visa sorted, global access. Shot type: social-square — Instagram/LinkedIn post. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 1:1 1080×1080."
visa-social-story,service,Visa Services,8,public/images/hero/visa-social-story.png,"Create a Visa Services image for YatraNexus travel website. Theme: passport visa stamps, travel documents, your visa sorted, global access. Shot type: social-story — Instagram story. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16."
visa-ppt-slide,service,Visa Services,9,public/images/hero/visa-ppt-slide.png,"Create a Visa Services image for YatraNexus travel website. Theme: passport visa stamps, travel documents, your visa sorted, global access. Shot type: ppt-slide — Vendor presentation slide. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
visa-email-header,service,Visa Services,10,public/images/hero/visa-email-header.png,"Create a Visa Services image for YatraNexus travel website. Theme: passport visa stamps, travel documents, your visa sorted, global access. Shot type: email-header — Email newsletter banner. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:1 wide."
insurance-hero-desktop,service,Travel Insurance,1,public/images/hero/insurance-hero-desktop.png,"Create a Travel Insurance image for YatraNexus travel website. Theme: travel with peace of mind, family at airport, protection and safety. Shot type: hero-desktop — Left third clear for text overlay. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9 1920×1080."
insurance-hero-mobile,service,Travel Insurance,2,public/images/hero/insurance-hero-mobile.png,"Create a Travel Insurance image for YatraNexus travel website. Theme: travel with peace of mind, family at airport, protection and safety. Shot type: hero-mobile — Vertical crop, subject center-bottom. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16 1080×1920."
insurance-service-card,service,Travel Insurance,3,public/images/hero/insurance-service-card.png,"Create a Travel Insurance image for YatraNexus travel website. Theme: travel with peace of mind, family at airport, protection and safety. Shot type: service-card — Package/service card thumbnail. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:2 1200×800."
insurance-cta-banner,service,Travel Insurance,4,public/images/hero/insurance-cta-banner.png,"Create a Travel Insurance image for YatraNexus travel website. Theme: travel with peace of mind, family at airport, protection and safety. Shot type: cta-banner — Wide CTA section background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 21:9 ultrawide."
insurance-trust-section,service,Travel Insurance,5,public/images/hero/insurance-trust-section.png,"Create a Travel Insurance image for YatraNexus travel website. Theme: travel with peace of mind, family at airport, protection and safety. Shot type: trust-section — Subtle background for stats/trust bar. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
insurance-how-it-works,service,Travel Insurance,6,public/images/hero/insurance-how-it-works.png,"Create a Travel Insurance image for YatraNexus travel website. Theme: travel with peace of mind, family at airport, protection and safety. Shot type: how-it-works — Clean illustrative step background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
insurance-social-square,service,Travel Insurance,7,public/images/hero/insurance-social-square.png,"Create a Travel Insurance image for YatraNexus travel website. Theme: travel with peace of mind, family at airport, protection and safety. Shot type: social-square — Instagram/LinkedIn post. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 1:1 1080×1080."
insurance-social-story,service,Travel Insurance,8,public/images/hero/insurance-social-story.png,"Create a Travel Insurance image for YatraNexus travel website. Theme: travel with peace of mind, family at airport, protection and safety. Shot type: social-story — Instagram story. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16."
insurance-ppt-slide,service,Travel Insurance,9,public/images/hero/insurance-ppt-slide.png,"Create a Travel Insurance image for YatraNexus travel website. Theme: travel with peace of mind, family at airport, protection and safety. Shot type: ppt-slide — Vendor presentation slide. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
insurance-email-header,service,Travel Insurance,10,public/images/hero/insurance-email-header.png,"Create a Travel Insurance image for YatraNexus travel website. Theme: travel with peace of mind, family at airport, protection and safety. Shot type: email-header — Email newsletter banner. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:1 wide."
forex-hero-desktop,service,Forex Card,1,public/images/hero/forex-hero-desktop.png,"Create a Forex Card image for YatraNexus travel website. Theme: multi-currency forex card, international payments, globe and currency. Shot type: hero-desktop — Left third clear for text overlay. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9 1920×1080."
forex-hero-mobile,service,Forex Card,2,public/images/hero/forex-hero-mobile.png,"Create a Forex Card image for YatraNexus travel website. Theme: multi-currency forex card, international payments, globe and currency. Shot type: hero-mobile — Vertical crop, subject center-bottom. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16 1080×1920."
forex-service-card,service,Forex Card,3,public/images/hero/forex-service-card.png,"Create a Forex Card image for YatraNexus travel website. Theme: multi-currency forex card, international payments, globe and currency. Shot type: service-card — Package/service card thumbnail. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:2 1200×800."
forex-cta-banner,service,Forex Card,4,public/images/hero/forex-cta-banner.png,"Create a Forex Card image for YatraNexus travel website. Theme: multi-currency forex card, international payments, globe and currency. Shot type: cta-banner — Wide CTA section background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 21:9 ultrawide."
forex-trust-section,service,Forex Card,5,public/images/hero/forex-trust-section.png,"Create a Forex Card image for YatraNexus travel website. Theme: multi-currency forex card, international payments, globe and currency. Shot type: trust-section — Subtle background for stats/trust bar. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
forex-how-it-works,service,Forex Card,6,public/images/hero/forex-how-it-works.png,"Create a Forex Card image for YatraNexus travel website. Theme: multi-currency forex card, international payments, globe and currency. Shot type: how-it-works — Clean illustrative step background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
forex-social-square,service,Forex Card,7,public/images/hero/forex-social-square.png,"Create a Forex Card image for YatraNexus travel website. Theme: multi-currency forex card, international payments, globe and currency. Shot type: social-square — Instagram/LinkedIn post. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 1:1 1080×1080."
forex-social-story,service,Forex Card,8,public/images/hero/forex-social-story.png,"Create a Forex Card image for YatraNexus travel website. Theme: multi-currency forex card, international payments, globe and currency. Shot type: social-story — Instagram story. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16."
forex-ppt-slide,service,Forex Card,9,public/images/hero/forex-ppt-slide.png,"Create a Forex Card image for YatraNexus travel website. Theme: multi-currency forex card, international payments, globe and currency. Shot type: ppt-slide — Vendor presentation slide. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
forex-email-header,service,Forex Card,10,public/images/hero/forex-email-header.png,"Create a Forex Card image for YatraNexus travel website. Theme: multi-currency forex card, international payments, globe and currency. Shot type: email-header — Email newsletter banner. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:1 wide."
corporate-hero-desktop,service,Corporate Travel,1,public/images/corporate/corporate-hero-desktop.png,"Create a Corporate Travel image for YatraNexus travel website. Theme: business corporate travel MICE, executives airport, professional. Shot type: hero-desktop — Left third clear for text overlay. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9 1920×1080."
corporate-hero-mobile,service,Corporate Travel,2,public/images/corporate/corporate-hero-mobile.png,"Create a Corporate Travel image for YatraNexus travel website. Theme: business corporate travel MICE, executives airport, professional. Shot type: hero-mobile — Vertical crop, subject center-bottom. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16 1080×1920."
corporate-service-card,service,Corporate Travel,3,public/images/corporate/corporate-service-card.png,"Create a Corporate Travel image for YatraNexus travel website. Theme: business corporate travel MICE, executives airport, professional. Shot type: service-card — Package/service card thumbnail. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:2 1200×800."
corporate-cta-banner,service,Corporate Travel,4,public/images/corporate/corporate-cta-banner.png,"Create a Corporate Travel image for YatraNexus travel website. Theme: business corporate travel MICE, executives airport, professional. Shot type: cta-banner — Wide CTA section background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 21:9 ultrawide."
corporate-trust-section,service,Corporate Travel,5,public/images/corporate/corporate-trust-section.png,"Create a Corporate Travel image for YatraNexus travel website. Theme: business corporate travel MICE, executives airport, professional. Shot type: trust-section — Subtle background for stats/trust bar. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
corporate-how-it-works,service,Corporate Travel,6,public/images/corporate/corporate-how-it-works.png,"Create a Corporate Travel image for YatraNexus travel website. Theme: business corporate travel MICE, executives airport, professional. Shot type: how-it-works — Clean illustrative step background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
corporate-social-square,service,Corporate Travel,7,public/images/corporate/corporate-social-square.png,"Create a Corporate Travel image for YatraNexus travel website. Theme: business corporate travel MICE, executives airport, professional. Shot type: social-square — Instagram/LinkedIn post. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 1:1 1080×1080."
corporate-social-story,service,Corporate Travel,8,public/images/corporate/corporate-social-story.png,"Create a Corporate Travel image for YatraNexus travel website. Theme: business corporate travel MICE, executives airport, professional. Shot type: social-story — Instagram story. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16."
corporate-ppt-slide,service,Corporate Travel,9,public/images/corporate/corporate-ppt-slide.png,"Create a Corporate Travel image for YatraNexus travel website. Theme: business corporate travel MICE, executives airport, professional. Shot type: ppt-slide — Vendor presentation slide. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
corporate-email-header,service,Corporate Travel,10,public/images/corporate/corporate-email-header.png,"Create a Corporate Travel image for YatraNexus travel website. Theme: business corporate travel MICE, executives airport, professional. Shot type: email-header — Email newsletter banner. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:1 wide."
holiday-packages-hero-desktop,service,Holiday Packages,1,public/images/hero/holiday-packages-hero-desktop.png,"Create a Holiday Packages image for YatraNexus travel website. Theme: collage India destinations Goa Kerala Kashmir Rajasthan holidays. Shot type: hero-desktop — Left third clear for text overlay. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9 1920×1080."
holiday-packages-hero-mobile,service,Holiday Packages,2,public/images/hero/holiday-packages-hero-mobile.png,"Create a Holiday Packages image for YatraNexus travel website. Theme: collage India destinations Goa Kerala Kashmir Rajasthan holidays. Shot type: hero-mobile — Vertical crop, subject center-bottom. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16 1080×1920."
holiday-packages-service-card,service,Holiday Packages,3,public/images/hero/holiday-packages-service-card.png,"Create a Holiday Packages image for YatraNexus travel website. Theme: collage India destinations Goa Kerala Kashmir Rajasthan holidays. Shot type: service-card — Package/service card thumbnail. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 3:2 1200×800."
holiday-packages-cta-banner,service,Holiday Packages,4,public/images/hero/holiday-packages-cta-banner.png,"Create a Holiday Packages image for YatraNexus travel website. Theme: collage India destinations Goa Kerala Kashmir Rajasthan holidays. Shot type: cta-banner — Wide CTA section background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 21:9 ultrawide."
holiday-packages-trust-section,service,Holiday Packages,5,public/images/hero/holiday-packages-trust-section.png,"Create a Holiday Packages image for YatraNexus travel website. Theme: collage India destinations Goa Kerala Kashmir Rajasthan holidays. Shot type: trust-section — Subtle background for stats/trust bar. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
holiday-packages-how-it-works,service,Holiday Packages,6,public/images/hero/holiday-packages-how-it-works.png,"Create a Holiday Packages image for YatraNexus travel website. Theme: collage India destinations Goa Kerala Kashmir Rajasthan holidays. Shot type: how-it-works — Clean illustrative step background. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
holiday-packages-social-square,service,Holiday Packages,7,public/images/hero/holiday-packages-social-square.png,"Create a Holiday Packages image for YatraNexus travel website. Theme: collage India destinations Goa Kerala Kashmir Rajasthan holidays. Shot type: social-square — Instagram/LinkedIn post. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 1:1 1080×1080."
holiday-packages-social-story,service,Holiday Packages,8,public/images/hero/holiday-packages-social-story.png,"Create a Holiday Packages image for YatraNexus travel website. Theme: collage India destinations Goa Kerala Kashmir Rajasthan holidays. Shot type: social-story — Instagram story. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 9:16."
holiday-packages-ppt-slide,service,Holiday Packages,9,public/images/hero/holiday-packages-ppt-slide.png,"Create a Holiday Packages image for YatraNexus travel website. Theme: collage India destinations Goa Kerala Kashmir Rajasthan holidays. Shot type: ppt-slide — Vendor presentation slide. YatraNexus brand colors: navy #001b2a, orange #ff7a00, purple #4b2cff. Photorealistic, no text, no watermark. Technical: 16:9."
